"count","results__id","results__challenge_id","results__user_id","results__team_id"
"","10588","87","105","39"
"","10596","59","189","64"
"","10599","113","339","114"
"","10604","108","105","39"
"","10608","89","105","39"
"","10610","109","105","39"
"","10611","130","76","29"
"","10619","90","105","39"
"","10620","131","76","29"
"","10621","108","339","114"
"","10628","113","191","64"
"","10640","109","339","114"
"","10684","85","182","63"
"","10688","92","105","39"
"","10696","93","105","39"
"","10698","114","191","64"
"","10699","132","76","29"
"","10701","116","191","64"
"","10702","94","105","39"
"","10711","96","105","39"
"","10717","87","182","63"
"","10722","88","182","63"
"","10723","95","105","39"
"","10729","97","105","39"
"","10731","98","105","39"
"","10735","99","105","39"
"","10736","89","182","63"
"","10741","90","182","63"
"","10742","121","247","80"
"","10745","101","105","39"
"","10746","73","365","122"
"","10757","104","182","63"
"","10760","66","53","23"
"","10761","85","504","180"
"","10769","100","105","39"
"","10771","86","504","180"
"","10785","87","504","180"
"","10789","88","504","180"
"","10792","101","265","89"
"","10802","102","265","89"
"","10815","90","504","180"
"","10818","91","182","63"
"","10819","89","504","180"
"","10820","82","63","25"
"","10837","112","191","64"
"","10848","115","191","64"
"","10856","110","105","39"
"","10868","65","60","25"
"","10878","115","105","39"
"","10881","71","105","39"
"","10887","118","191","64"
"","10902","56","415","141"
"","10908","92","265","89"
"","10917","85","483","114"
"","10919","93","265","89"
"","10933","94","265","89"
"","10966","85","120","43"
"","10968","97","265","89"
"","10992","119","191","64"
"","10995","102","210","68"
"","10999","86","120","43"
"","11005","101","210","68"
"","11007","108","251","65"
"","11017","87","210","68"
"","11024","88","210","68"
"","11029","92","182","63"
"","11030","89","210","68"
"","11036","93","182","63"
"","11047","94","182","63"
"","11070","90","210","68"
"","11087","88","266","89"
"","11088","87","120","43"
"","11089","95","220","71"
"","11090","82","394","132"
"","11096","109","251","65"
"","11101","88","120","43"
"","11118","90","120","43"
"","11125","94","210","68"
"","11132","89","120","43"
"","11134","66","200","67"
"","11149","95","210","68"
"","11195","92","210","68"
"","11200","93","210","68"
"","11217","34","311","106"
"","11225","79","393","132"
"","11262","81","306","104"
"","11274","134","185","63"
"","11275","96","210","68"
"","11291","83","395","132"
"","11297","104","105","39"
"","11329","133","306","104"
"","11350","58","200","67"
"","11380","91","368","123"
"","11387","102","105","39"
"","11394","105","193","64"
"","11419","88","105","39"
"","11434","86","210","68"
"","11441","111","194","65"
"","11446","97","210","68"
"","11450","110","339","114"
"","11451","98","210","68"
"","11457","115","339","114"
"","11461","99","210","68"
"","11463","100","210","68"
"","11482","113","194","65"
"","11495","71","313","106"
"","11497","103","210","68"
"","11500","104","210","68"
"","11502","96","220","71"
"","11503","31","307","104"
"","11510","106","193","64"
"","11512","114","194","65"
"","11559","58","191","64"
"","11567","85","210","68"
"","11607","86","368","123"
"","11614","85","368","123"
"","11645","87","368","123"
"","11660","88","368","123"
"","11666","135","185","63"
"","11677","85","105","39"
"","11680","89","368","123"
"","11700","90","368","123"
"","11706","116","251","65"
"","11708","59","483","114"
"","11710","98","266","89"
"","11712","67","200","67"
"","11714","91","105","39"
"","11715","99","266","89"
"","11741","114","105","39"
"","11776","85","189","64"
"","11784","58","94","36"
"","11785","86","189","64"
"","11788","115","194","65"
"","11792","112","194","65"
"","11799","124","247","80"
"","11812","29","102","37"
"","11818","110","194","65"
"","11820","92","368","123"
"","11821","93","368","123"
"","11823","31","102","37"
"","11826","94","368","123"
"","11836","28","102","37"
"","11867","79","94","36"
"","11868","79","200","67"
"","11876","97","368","123"
"","11881","98","368","123"
"","11882","27","307","104"
"","11902","99","368","123"
"","11911","100","368","123"
"","11919","101","368","123"
"","11920","119","222","71"
"","11923","114","483","114"
"","11926","31","313","106"
"","11929","102","368","123"
"","11930","30","102","37"
"","11949","81","200","67"
"","11952","32","395","132"
"","11971","30","307","104"
"","12016","118","222","71"
"","12025","29","393","132"
"","12032","104","368","123"
"","12054","139","222","71"
"","12073","32","102","37"
"","12079","108","210","68"
"","12113","134","306","104"
"","12124","120","222","71"
"","12128","28","394","132"
"","12172","118","194","65"
"","12174","31","395","132"
"","12201","87","191","64"
"","12260","89","191","64"
"","12261","90","191","64"
"","12275","30","394","132"
"","12279","91","191","64"
"","12334","97","191","64"
"","12337","98","191","64"
"","12339","99","191","64"
"","12341","100","191","64"
"","12347","101","191","64"
"","12348","102","191","64"
"","12367","104","191","64"
"","12402","116","339","114"
"","12522","66","60","25"
"","12526","67","60","25"
"","12530","106","200","67"
"","12541","64","60","25"
"","12666","88","189","64"
"","12673","92","189","64"
"","12693","93","189","64"
"","12709","94","189","64"
"","12714","95","189","64"
"","12724","91","120","43"
"","12738","103","189","64"
"","12742","92","223","72"
"","12751","93","223","72"
"","12753","94","223","72"
"","12772","94","120","43"
"","12775","97","223","72"
"","12776","87","356","118"
"","12777","98","223","72"
"","12778","139","328","111"
"","12787","92","120","43"
"","12788","93","120","43"
"","12789","103","483","114"
"","12842","99","223","72"
"","12858","100","223","72"
"","12866","64","309","104"
"","12881","79","102","37"
"","12883","96","189","64"
"","12884","104","223","72"
"","12889","103","223","72"
"","12895","97","120","43"
"","12897","29","112","40"
"","12898","98","120","43"
"","12903","121","313","106"
"","12912","99","120","43"
"","12913","101","223","72"
"","12922","100","120","43"
"","12923","102","223","72"
"","12932","90","223","72"
"","12947","88","223","72"
"","12958","103","105","39"
"","12972","101","120","43"
"","12978","133","493","67"
"","12979","102","120","43"
"","12985","116","98","37"
"","13021","67","309","104"
"","13037","116","389","130"
"","13061","91","222","71"
"","13071","95","120","43"
"","13074","96","120","43"
"","13120","103","120","43"
"","13133","104","120","43"
"","13188","118","74","29"
"","13190","120","194","65"
"","13214","83","63","25"
"","13217","119","194","65"
"","13258","81","311","106"
"","13260","50","52","23"
"","13274","119","74","29"
"","13340","120","98","37"
"","13368","65","194","65"
"","13379","98","356","118"
"","13381","119","98","37"
"","13401","99","356","118"
"","13403","100","356","118"
"","13406","118","98","37"
"","13426","59","94","36"
"","13460","103","356","118"
"","13478","59","130","47"
"","13480","65","136","48"
"","13482","60","331","111"
"","13484","109","210","68"
"","13485","33","56","23"
"","13506","29","120","43"
"","13509","116","105","39"
"","13510","91","356","118"
"","13541","88","339","114"
"","13543","91","339","114"
"","13547","101","356","118"
"","13562","28","120","43"
"","13570","102","356","118"
"","13572","127","74","29"
"","13584","62","130","47"
"","13588","90","356","118"
"","13611","68","98","37"
"","13616","97","356","118"
"","13626","78","418","143"
"","13636","105","200","67"
"","13638","92","356","118"
"","13654","93","356","118"
"","13658","94","356","118"
"","13659","134","200","67"
"","13662","81","328","111"
"","13665","95","356","118"
"","13676","78","362","121"
"","13734","74","315","106"
"","13755","108","418","143"
"","13761","28","74","29"
"","13773","69","200","67"
"","13779","56","210","68"
"","13790","109","418","143"
"","13803","96","356","118"
"","13825","32","112","40"
"","13826","111","418","143"
"","13832","104","356","118"
"","13833","89","356","118"
"","13842","112","418","143"
"","13845","113","418","143"
"","13848","133","331","111"
"","13869","110","200","67"
"","13890","120","54","23"
"","13898","85","417","143"
"","13902","86","417","143"
"","13913","60","362","121"
"","13954","114","418","143"
"","13967","87","417","143"
"","13973","33","200","67"
"","14009","29","105","39"
"","14023","115","418","143"
"","14043","28","222","71"
"","14065","32","105","39"
"","14066","29","339","114"
"","14108","89","417","143"
"","14115","32","339","114"
"","14117","88","417","143"
"","14120","90","417","143"
"","14121","29","222","71"
"","14143","120","94","36"
"","14155","32","222","71"
"","14174","92","417","143"
"","14188","93","417","143"
"","14192","61","99","37"
"","14194","28","339","114"
"","14199","94","417","143"
"","14205","28","105","39"
"","14219","95","417","143"
"","14222","86","356","118"
"","14225","81","98","37"
"","14230","58","227","73"
"","14235","51","200","67"
"","14237","32","120","43"
"","14257","97","417","143"
"","14258","59","105","39"
"","14260","98","417","143"
"","14261","99","417","143"
"","14264","100","417","143"
"","14266","125","74","29"
"","14280","31","120","43"
"","14281","63","95","36"
"","14288","29","60","25"
"","14289","101","417","143"
"","14296","102","417","143"
"","14303","27","222","71"
"","14314","128","229","73"
"","14320","27","120","43"
"","14322","31","222","71"
"","14330","103","417","143"
"","14354","104","417","143"
"","14361","82","362","121"
"","14380","27","1","5"
"","14400","110","111","40"
"","14450","66","314","106"
"","14471","67","313","106"
"","14481","59","99","37"
"","14490","64","313","106"
"","14491","141","20","5"
"","14492","142","20","5"
"","14493","143","20","5"
"","14532","139","51","23"
"","14581","96","417","143"
"","14596","82","120","43"
"","14640","91","417","143"
"","14656","29","328","111"
"","14698","30","222","71"
"","14717","111","389","130"
"","14735","30","120","43"
"","14744","120","120","43"
"","14751","71","189","64"
"","14755","56","189","64"
"","14757","110","189","64"
"","14763","32","60","25"
"","14764","67","188","64"
"","14771","72","483","114"
"","14805","32","94","36"
"","14807","112","309","104"
"","14808","115","309","104"
"","14815","29","94","36"
"","14898","56","120","43"
"","14908","30","94","36"
"","14938","81","61","25"
"","14944","108","368","123"
"","14945","106","136","48"
"","14971","28","94","36"
"","14988","31","94","36"
"","14993","28","328","111"
"","15008","27","74","29"
"","15013","32","328","111"
"","15024","118","389","130"
"","15047","57","94","36"
"","15062","31","362","121"
"","15064","119","389","130"
"","15109","27","389","130"
"","15113","27","101","37"
"","15126","117","477","170"
"","15157","27","105","39"
"","15158","28","362","121"
"","15160","78","131","47"
"","15171","27","94","36"
"","15173","31","105","39"
"","15177","31","74","29"
"","15179","139","366","122"
"","15186","82","388","130"
"","15189","88","94","36"
"","15197","81","120","43"
"","15217","60","418","143"
"","15276","91","94","36"
"","15289","27","64","25"
"","15294","120","389","130"
"","15299","27","257","87"
"","15316","29","362","121"
"","15323","118","483","114"
"","15388","78","120","43"
"","15397","51","247","80"
"","15452","32","362","121"
"","15453","64","194","65"
"","15476","106","314","106"
"","15481","62","120","43"
"","15515","72","105","39"
"","15523","104","94","36"
"","15532","30","362","121"
"","15542","27","339","114"
"","15544","73","189","64"
"","15549","27","362","121"
"","15553","31","339","114"
"","15572","62","365","122"
"","15578","52","313","106"
"","15583","105","483","114"
"","15599","27","328","111"
"","15602","31","330","111"
"","15606","111","368","123"
"","15613","59","418","143"
"","15627","113","368","123"
"","15636","35","316","106"
"","15660","114","368","123"
"","15662","37","311","106"
"","15675","38","316","106"
